"time","hot","cool","mua","gio","thongtin"
"Thứ hai 14/08/2023","37°C","30°C"," 0°%","4m/s","Ít mây, ngày nắng nóng gay gắt"
"Thứ ba 15/08/2023","36°C","28°C"," 2°%","4m/s","Ít mây, trời nắng nóng"
"Thứ tư 16/08/2023","36°C","27°C"," 6°%","5m/s","Có mây, có mưa rào"
"Thứ năm 17/08/2023","36°C","28°C"," 2°%"," ","Ít mây, trời nắng nóng"
"Thứ sáu 18/08/2023","36°C","28°C"," 10°%"," ","Ít mây, trời nắng nóng"
"Thứ bảy 19/08/2023","36°C","27°C"," 35°%"," ","Có mây, có mưa rào"
"Chủ nhật 20/08/2023","35°C","27°C"," 63°%"," ","Có mây, có mưa rào và dông"
"Thứ hai 21/08/2023","34°C","26°C"," 61°%"," ","Có mây, có mưa rào"
"Thứ ba 22/08/2023","34°C","26°C"," 63°%"," ","Có mây, có mưa rào"
"Thứ tư 23/08/2023","34°C","26°C"," 63°%"," ","Có mây, có mưa rào"
